rank	selection_reason	char	display_sample	codepoint	name	category	script	block	age	emoji	requires_base	standalone_safe	windows_font_covered	shape_hints
423	形态词命中+Emoji	🌔	🌔	U+1F314	WAXING GIBBOUS MOON SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
424	形态词命中+Emoji	🌕	🌕	U+1F315	FULL MOON SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
425	形态词命中+Emoji	🌖	🌖	U+1F316	WANING GIBBOUS MOON SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
426	形态词命中+Emoji	🌗	🌗	U+1F317	LAST QUARTER MOON SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
427	形态词命中+Emoji	🌘	🌘	U+1F318	WANING CRESCENT MOON SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
428	形态词命中+Emoji	🌙	🌙	U+1F319	CRESCENT MOON	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
429	形态词命中+Emoji	🌟	🌟	U+1F31F	GLOWING STAR	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	星芒
430	形态词命中+Emoji	🌠	🌠	U+1F320	SHOOTING STAR	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	星芒
431	形态词命中+Emoji	🌤	🌤	U+1F324	WHITE SUN WITH SMALL CLOUD	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	星芒
432	形态词命中+Emoji	🌥	🌥	U+1F325	WHITE SUN BEHIND CLOUD	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	星芒
433	形态词命中+Emoji	🌦	🌦	U+1F326	WHITE SUN BEHIND CLOUD WITH RAIN	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	星芒
434	形态词命中+Emoji	🍃	🍃	U+1F343	LEAF FLUTTERING IN WIND	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
435	形态词命中+Emoji	🍫	🍫	U+1F36B	CHOCOLATE BAR	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
436	形态词命中+Emoji	🍮	🍮	U+1F36E	CUSTARD	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	星芒
437	形态词命中+Emoji	🍱	🍱	U+1F371	BENTO BOX	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
438	形态词命中+Emoji	🍶	🍶	U+1F376	SAKE BOTTLE AND CUP	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
439	形态词命中+Emoji	🎇	🎇	U+1F387	FIREWORK SPARKLER	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	星芒
440	形态词命中+Emoji	🎌	🎌	U+1F38C	CROSSED FLAGS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	对称
441	形态词命中+Emoji	🎑	🎑	U+1F391	MOON VIEWING CEREMONY	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
442	形态词命中+Emoji	🎴	🎴	U+1F3B4	FLOWER PLAYING CARDS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	星芒
443	形态词命中+Emoji	🏹	🏹	U+1F3F9	BOW AND ARROW	So	Common	Miscellaneous Symbols and Pictographs	8.0	true	false	true	true	方向
444	形态词命中+Emoji	🐚	🐚	U+1F41A	SPIRAL SHELL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
445	形态词命中+Emoji	👍	👍	U+1F44D	THUMBS UP SIGN	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
446	形态词命中+Emoji	👎	👎	U+1F44E	THUMBS DOWN SIGN	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
447	形态词命中+Emoji	💈	💈	U+1F488	BARBER POLE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
448	形态词命中+Emoji	💉	💉	U+1F489	SYRINGE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
449	形态词命中+Emoji	💍	💍	U+1F48D	RING	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
450	形态词命中+Emoji	💓	💓	U+1F493	BEATING HEART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
451	形态词命中+Emoji	💔	💔	U+1F494	BROKEN HEART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
452	形态词命中+Emoji	💕	💕	U+1F495	TWO HEARTS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
453	形态词命中+Emoji	💗	💗	U+1F497	GROWING HEART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
454	形态词命中+Emoji	💙	💙	U+1F499	BLUE HEART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
455	形态词命中+Emoji	💚	💚	U+1F49A	GREEN HEART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
456	形态词命中+Emoji	💛	💛	U+1F49B	YELLOW HEART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
457	形态词命中+Emoji	💜	💜	U+1F49C	PURPLE HEART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
458	形态词命中+Emoji	💝	💝	U+1F49D	HEART WITH RIBBON	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
459	形态词命中+Emoji	💞	💞	U+1F49E	REVOLVING HEARTS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
460	形态词命中+Emoji	💟	💟	U+1F49F	HEART DECORATION	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
461	形态词命中+Emoji	💨	💨	U+1F4A8	DASH SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
462	形态词命中+Emoji	💮	💮	U+1F4AE	WHITE FLOWER	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	星芒
463	形态词命中+Emoji	💯	💯	U+1F4AF	HUNDRED POINTS SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点
464	形态词命中+Emoji	💹	💹	U+1F4B9	CHART WITH UPWARDS TREND AND YEN SIGN	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
465	形态词命中+Emoji	💽	💽	U+1F4BD	MINIDISC	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
466	形态词命中+Emoji	💿	💿	U+1F4BF	OPTICAL DISC	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
467	形态词命中+Emoji	📃	📃	U+1F4C3	PAGE WITH CURL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	曲线
468	形态词命中+Emoji	📄	📄	U+1F4C4	PAGE FACING UP	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
469	形态词命中+Emoji	📈	📈	U+1F4C8	CHART WITH UPWARDS TREND	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
470	形态词命中+Emoji	📉	📉	U+1F4C9	CHART WITH DOWNWARDS TREND	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
471	形态词命中+Emoji	📊	📊	U+1F4CA	BAR CHART	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
472	形态词命中+Emoji	📍	📍	U+1F4CD	ROUND PUSHPIN	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
473	形态词命中+Emoji	📣	📣	U+1F4E3	CHEERING MEGAPHONE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
474	形态词命中+Emoji	📪	📪	U+1F4EA	CLOSED MAILBOX WITH LOWERED FLAG	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
475	形态词命中+Emoji	📫	📫	U+1F4EB	CLOSED MAILBOX WITH RAISED FLAG	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
476	形态词命中+Emoji	📬	📬	U+1F4EC	OPEN MAILBOX WITH RAISED FLAG	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
477	形态词命中+Emoji	📭	📭	U+1F4ED	OPEN MAILBOX WITH LOWERED FLAG	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
478	形态词命中+Emoji	📮	📮	U+1F4EE	POSTBOX	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
479	形态词命中+Emoji	📶	📶	U+1F4F6	ANTENNA WITH BARS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
480	形态词命中+Emoji	📿	📿	U+1F4FF	PRAYER BEADS	So	Common	Miscellaneous Symbols and Pictographs	8.0	true	false	true	true	星芒
481	形态词命中+Emoji	🔅	🔅	U+1F505	LOW BRIGHTNESS SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
482	形态词命中+Emoji	🔆	🔆	U+1F506	HIGH BRIGHTNESS SYMBOL	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
483	形态词命中+Emoji	🔇	🔇	U+1F507	SPEAKER WITH CANCELLATION STROKE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
484	形态词命中+Emoji	🔉	🔉	U+1F509	SPEAKER WITH ONE SOUND WAVE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
485	形态词命中+Emoji	🔊	🔊	U+1F50A	SPEAKER WITH THREE SOUND WAVES	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
486	形态词命中+Emoji	🔕	🔕	U+1F515	BELL WITH CANCELLATION STROKE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	线
487	形态词命中+Emoji	🔲	🔲	U+1F532	BLACK SQUARE BUTTON	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
488	形态词命中+Emoji	🔳	🔳	U+1F533	WHITE SQUARE BUTTON	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方
489	形态词命中+Emoji	🔴	🔴	U+1F534	LARGE RED CIRCLE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
490	形态词命中+Emoji	🔵	🔵	U+1F535	LARGE BLUE CIRCLE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆
491	形态词命中+Emoji	🕶	🕶	U+1F576	DARK SUNGLASSES	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	星芒
492	形态词命中+Emoji	🖋	🖋	U+1F58B	LOWER LEFT FOUNTAIN PEN	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	方向
493	形态词命中+Emoji	🖌	🖌	U+1F58C	LOWER LEFT PAINTBRUSH	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	方向
494	形态词命中+Emoji	🖤	🖤	U+1F5A4	BLACK HEART	So	Common	Miscellaneous Symbols and Pictographs	9.0	true	false	true	true	曲线
495	形态词命中+Emoji	🗃	🗃	U+1F5C3	CARD FILE BOX	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	方
496	形态词命中+Emoji	🗓	🗓	U+1F5D3	SPIRAL CALENDAR PAD	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	曲线
497	形态词命中+Emoji	🗞	🗞	U+1F5DE	ROLLED-UP NEWSPAPER	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	方向
498	形态词命中+Emoji	🗨	🗨	U+1F5E8	LEFT SPEECH BUBBLE	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	方向
499	形态词命中+Emoji	🗯	🗯	U+1F5EF	RIGHT ANGER BUBBLE	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	方向
500	形态词命中+Emoji	🗳	🗳	U+1F5F3	BALLOT BOX WITH BALLOT	So	Common	Miscellaneous Symbols and Pictographs	7.0	true	false	true	true	方
501	形态词命中+Emoji	🚅	🚅	U+1F685	HIGH-SPEED TRAIN WITH BULLET NOSE	So	Common	Transport and Map Symbols	6.0	true	false	true	true	点
502	形态词命中+Emoji	🚸	🚸	U+1F6B8	CHILDREN CROSSING	So	Common	Transport and Map Symbols	6.0	true	false	true	true	对称
503	形态词命中+Emoji	🛅	🛅	U+1F6C5	LEFT LUGGAGE	So	Common	Transport and Map Symbols	6.0	true	false	true	true	方向
504	形态词命中+Emoji	🛝	🛝	U+1F6DD	PLAYGROUND SLIDE	So	Common	Transport and Map Symbols	14.0	true	false	true	true	圆
505	形态词命中+Emoji	🛟	🛟	U+1F6DF	RING BUOY	So	Common	Transport and Map Symbols	14.0	true	false	true	true	圆
506	形态词命中+Emoji	🛻	🛻	U+1F6FB	PICKUP TRUCK	So	Common	Transport and Map Symbols	13.0	true	false	true	true	方向
507	形态词命中+Emoji	🟠	🟠	U+1F7E0	LARGE ORANGE CIRCLE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	圆
508	形态词命中+Emoji	🟡	🟡	U+1F7E1	LARGE YELLOW CIRCLE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	圆
509	形态词命中+Emoji	🟢	🟢	U+1F7E2	LARGE GREEN CIRCLE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	圆
510	形态词命中+Emoji	🟣	🟣	U+1F7E3	LARGE PURPLE CIRCLE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	圆
511	形态词命中+Emoji	🟤	🟤	U+1F7E4	LARGE BROWN CIRCLE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	圆
512	形态词命中+Emoji	🟥	🟥	U+1F7E5	LARGE RED SQUARE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	方
513	形态词命中+Emoji	🟦	🟦	U+1F7E6	LARGE BLUE SQUARE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	方
514	形态词命中+Emoji	🟧	🟧	U+1F7E7	LARGE ORANGE SQUARE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	方
515	形态词命中+Emoji	🟨	🟨	U+1F7E8	LARGE YELLOW SQUARE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	方
516	形态词命中+Emoji	🟩	🟩	U+1F7E9	LARGE GREEN SQUARE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	方
517	形态词命中+Emoji	🟪	🟪	U+1F7EA	LARGE PURPLE SQUARE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	方
518	形态词命中+Emoji	🟫	🟫	U+1F7EB	LARGE BROWN SQUARE	So	Common	Geometric Shapes Extended	12.0	true	false	true	true	方
519	形态词命中+Emoji	🟰	🟰	U+1F7F0	HEAVY EQUALS SIGN	So	Common	Geometric Shapes Extended	14.0	true	false	true	true	对称
520	形态词命中+Emoji	🤍	🤍	U+1F90D	WHITE HEART	So	Common	Supplemental Symbols and Pictographs	12.0	true	false	true	true	曲线
521	形态词命中+Emoji	🤎	🤎	U+1F90E	BROWN HEART	So	Common	Supplemental Symbols and Pictographs	12.0	true	false	true	true	曲线
522	形态词命中+Emoji	🤛	🤛	U+1F91B	LEFT-FACING FIST	So	Common	Supplemental Symbols and Pictographs	9.0	true	false	true	true	方向
523	形态词命中+Emoji	🤜	🤜	U+1F91C	RIGHT-FACING FIST	So	Common	Supplemental Symbols and Pictographs	9.0	true	false	true	true	方向
524	形态词命中+Emoji	🤱	🤱	U+1F931	BREAST-FEEDING	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	方向
525	形态词命中+Emoji	🤲	🤲	U+1F932	PALMS UP TOGETHER	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	方向
526	形态词命中+Emoji	🥀	🥀	U+1F940	WILTED FLOWER	So	Common	Supplemental Symbols and Pictographs	9.0	true	false	true	true	星芒
527	形态词命中+Emoji	🥊	🥊	U+1F94A	BOXING GLOVE	So	Common	Supplemental Symbols and Pictographs	9.0	true	false	true	true	方
528	形态词命中+Emoji	🥌	🥌	U+1F94C	CURLING STONE	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	曲线
529	形态词命中+Emoji	🥍	🥍	U+1F94D	LACROSSE STICK AND BALL	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	对称
530	形态词命中+Emoji	🥏	🥏	U+1F94F	FLYING DISC	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	圆
531	形态词命中+Emoji	🥡	🥡	U+1F961	TAKEOUT BOX	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	方
532	形态词命中+Emoji	🥤	🥤	U+1F964	CUP WITH STRAW	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	方向
533	形态词命中+Emoji	🥮	🥮	U+1F96E	MOON CAKE	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	曲线
534	形态词命中+Emoji	🦱	🦱	U+1F9B1	EMOJI COMPONENT CURLY HAIR	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	曲线
535	形态词命中+Emoji	🦸	🦸	U+1F9B8	SUPERHERO	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	方向
536	形态词命中+Emoji	🦹	🦹	U+1F9B9	SUPERVILLAIN	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	方向
537	形态词命中+Emoji	🦻	🦻	U+1F9BB	EAR WITH HEARING AID	So	Common	Supplemental Symbols and Pictographs	12.0	true	false	true	true	圆
538	形态词命中+Emoji	🧀	🧀	U+1F9C0	CHEESE WEDGE	So	Common	Supplemental Symbols and Pictographs	8.0	true	false	true	true	角
539	形态词命中+Emoji	🧁	🧁	U+1F9C1	CUPCAKE	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	方向
540	形态词命中+Emoji	🧃	🧃	U+1F9C3	BEVERAGE BOX	So	Common	Supplemental Symbols and Pictographs	12.0	true	false	true	true	方
541	形态词命中+Emoji	🧊	🧊	U+1F9CA	ICE CUBE	So	Common	Supplemental Symbols and Pictographs	12.0	true	false	true	true	方
542	形态词命中+Emoji	🧡	🧡	U+1F9E1	ORANGE HEART	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	曲线
543	形态词命中+Emoji	🧬	🧬	U+1F9EC	DNA DOUBLE HELIX	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	对称
544	形态词命中+Emoji	🧰	🧰	U+1F9F0	TOOLBOX	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	方
545	形态词命中+Emoji	🧼	🧼	U+1F9FC	BAR OF SOAP	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	线
546	形态词命中+Emoji	🩵	🩵	U+1FA75	LIGHT BLUE HEART	So	Common	Symbols and Pictographs Extended-A	15.0	true	false	true	true	曲线
547	形态词命中+Emoji	🩶	🩶	U+1FA76	GREY HEART	So	Common	Symbols and Pictographs Extended-A	15.0	true	false	true	true	曲线
548	形态词命中+Emoji	🩷	🩷	U+1FA77	PINK HEART	So	Common	Symbols and Pictographs Extended-A	15.0	true	false	true	true	曲线
549	形态词命中+Emoji	🩻	🩻	U+1FA7B	X-RAY	So	Common	Symbols and Pictographs Extended-A	14.0	true	false	true	true	星芒
550	形态词命中+Emoji	🪐	🪐	U+1FA90	RINGED PLANET	So	Common	Symbols and Pictographs Extended-A	12.0	true	false	true	true	圆
551	形态词命中+Emoji	🪝	🪝	U+1FA9D	HOOK	So	Common	Symbols and Pictographs Extended-A	13.0	true	false	true	true	曲线
552	形态词命中+Emoji	🪞	🪞	U+1FA9E	MIRROR	So	Common	Symbols and Pictographs Extended-A	13.0	true	false	true	true	对称
553	形态词命中+Emoji	🪩	🪩	U+1FAA9	MIRROR BALL	So	Common	Symbols and Pictographs Extended-A	14.0	true	false	true	true	对称
554	形态词命中+Emoji	🫀	🫀	U+1FAC0	ANATOMICAL HEART	So	Common	Symbols and Pictographs Extended-A	13.0	true	false	true	true	曲线
555	形态词命中+Emoji	🫗	🫗	U+1FAD7	POURING LIQUID	So	Common	Symbols and Pictographs Extended-A	14.0	true	false	true	true	圆
556	形态词命中+Emoji	🫵	🫵	U+1FAF5	INDEX POINTING AT THE VIEWER	So	Common	Symbols and Pictographs Extended-A	14.0	true	false	true	true	点
557	区块与文字系统多样性+Emoji	🫢	🫢	U+1FAE2	FACE WITH OPEN EYES AND HAND OVER MOUTH	So	Common	Symbols and Pictographs Extended-A	14.0	true	false	true	true	
558	形态词命中	↮	↮	U+21AE	LEFT RIGHT ARROW WITH STROKE	Sm	Common	Arrows	1.1	false	false	true	true	线,方向
559	形态词命中	⇏	⇏	U+21CF	RIGHTWARDS DOUBLE ARROW WITH STROKE	Sm	Common	Arrows	1.1	false	false	true	true	线,方向,对称
560	形态词命中	⇔	⇔	U+21D4	LEFT RIGHT DOUBLE ARROW	Sm	Common	Arrows	1.1	false	false	true	true	方向,对称
561	形态词命中	⇵	⇵	U+21F5	DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW	Sm	Common	Arrows	3.2	false	false	true	true	方向
562	形态词命中	⇹	⇹	U+21F9	LEFT RIGHT ARROW WITH VERTICAL STROKE	Sm	Common	Arrows	3.2	false	false	true	true	线,方向
563	形态词命中	⇺	⇺	U+21FA	LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE	Sm	Common	Arrows	3.2	false	false	true	true	线,方向,对称
564	形态词命中	⇻	⇻	U+21FB	RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE	Sm	Common	Arrows	3.2	false	false	true	true	线,方向,对称
565	形态词命中	⍼	⍼	U+237C	RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW	Sm	Common	Miscellaneous Technical	3.2	false	false	true	true	角,方向
566	形态词命中	⎡	⎡	U+23A1	LEFT SQUARE BRACKET UPPER CORNER	Sm	Common	Miscellaneous Technical	3.2	false	false	true	true	角,方向,方
567	形态词命中	⎤	⎤	U+23A4	RIGHT SQUARE BRACKET UPPER CORNER	Sm	Common	Miscellaneous Technical	3.2	false	false	true	true	角,方向,方
568	形态词命中	⎧	⎧	U+23A7	LEFT CURLY BRACKET UPPER HOOK	Sm	Common	Miscellaneous Technical	3.2	false	false	true	true	方向,曲线
569	形态词命中	⎫	⎫	U+23AB	RIGHT CURLY BRACKET UPPER HOOK	Sm	Common	Miscellaneous Technical	3.2	false	false	true	true	方向,曲线
570	形态词命中	⎰	⎰	U+23B0	UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION	Sm	Common	Miscellaneous Technical	3.2	false	false	true	true	方向,曲线
571	形态词命中	⎱	⎱	U+23B1	UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION	Sm	Common	Miscellaneous Technical	3.2	false	false	true	true	方向,曲线
572	形态词命中	▷	▷	U+25B7	WHITE RIGHT-POINTING TRIANGLE	Sm	Common	Geometric Shapes	1.1	false	false	true	true	点,角,方向
573	形态词命中	◁	◁	U+25C1	WHITE LEFT-POINTING TRIANGLE	Sm	Common	Geometric Shapes	1.1	false	false	true	true	点,角,方向
574	形态词命中	◸	◸	U+25F8	UPPER LEFT TRIANGLE	Sm	Common	Geometric Shapes	3.2	false	false	true	true	角,方向
575	形态词命中	◹	◹	U+25F9	UPPER RIGHT TRIANGLE	Sm	Common	Geometric Shapes	3.2	false	false	true	true	角,方向
576	形态词命中	⟔	⟔	U+27D4	UPPER LEFT CORNER WITH DOT	Sm	Common	Miscellaneous Mathematical Symbols-A	3.2	false	false	true	true	点,角,方向
577	形态词命中	⟱	⟱	U+27F1	DOWNWARDS QUADRUPLE ARROW	Sm	Common	Supplemental Arrows-A	3.2	false	false	true	true	方向,对称
578	形态词命中	⟺	⟺	U+27FA	LONG LEFT RIGHT DOUBLE ARROW	Sm	Common	Supplemental Arrows-A	3.2	false	false	true	true	方向,对称
579	形态词命中	⟽	⟽	U+27FD	LONG LEFTWARDS DOUBLE ARROW FROM BAR	Sm	Common	Supplemental Arrows-A	3.2	false	false	true	true	线,方向,对称
580	形态词命中	⟾	⟾	U+27FE	LONG RIGHTWARDS DOUBLE ARROW FROM BAR	Sm	Common	Supplemental Arrows-A	3.2	false	false	true	true	线,方向,对称
581	形态词命中	⤁	⤁	U+2901	RIGHTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
582	形态词命中	⤂	⤂	U+2902	LEFTWARDS DOUBLE ARROW WITH VERTICAL STROKE	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
583	形态词命中	⤃	⤃	U+2903	RIGHTWARDS DOUBLE ARROW WITH VERTICAL STROKE	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
584	形态词命中	⤆	⤆	U+2906	LEFTWARDS DOUBLE ARROW FROM BAR	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
585	形态词命中	⤇	⤇	U+2907	RIGHTWARDS DOUBLE ARROW FROM BAR	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
586	形态词命中	⤌	⤌	U+290C	LEFTWARDS DOUBLE DASH ARROW	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
587	形态词命中	⤍	⤍	U+290D	RIGHTWARDS DOUBLE DASH ARROW	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
588	形态词命中	⤑	⤑	U+2911	RIGHTWARDS ARROW WITH DOTTED STEM	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	点,方向
589	形态词命中	⤕	⤕	U+2915	RIGHTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
590	形态词命中	⤘	⤘	U+2918	RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向,对称
591	形态词命中	⤟	⤟	U+291F	LEFTWARDS ARROW FROM BAR TO BLACK DIAMOND	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向
592	形态词命中	⤠	⤠	U+2920	RIGHTWARDS ARROW FROM BAR TO BLACK DIAMOND	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	线,方向
593	形态词命中	⤣	⤣	U+2923	NORTH WEST ARROW WITH HOOK	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	方向,曲线
594	形态词命中	⤤	⤤	U+2924	NORTH EAST ARROW WITH HOOK	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	方向,曲线
595	形态词命中	⤥	⤥	U+2925	SOUTH EAST ARROW WITH HOOK	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	方向,曲线
596	形态词命中	⤦	⤦	U+2926	SOUTH WEST ARROW WITH HOOK	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	方向,曲线
597	形态词命中	⤧	⤧	U+2927	NORTH WEST ARROW AND NORTH EAST ARROW	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	方向
598	形态词命中	⤨	⤨	U+2928	NORTH EAST ARROW AND SOUTH EAST ARROW	Sm	Common	Supplemental Arrows-B	3.2	false	false	true	true	方向
