rank	selection_reason	char	display_sample	codepoint	name	category	script	block	age	emoji	requires_base	standalone_safe	windows_font_covered	shape_hints
1506	区块与文字系统多样性	᎙	᎙	U+1399	ETHIOPIC TONAL MARK KURT	So	Ethiopic	Ethiopic Supplement	4.1	false	false	true	true	
1507	区块与文字系统多样性	᙭	᙭	U+166D	CANADIAN SYLLABICS CHI SIGN	So	Canadian_Aboriginal	Unified Canadian Aboriginal Syllabics	3.0	false	false	true	true	
1508	区块与文字系统多样性	᥀	᥀	U+1940	LIMBU SIGN LOO	So	Limbu	Limbu	4.0	false	false	true	true	
1509	区块与文字系统多样性	᧞	᧞	U+19DE	NEW TAI LUE SIGN LAE	So	New_Tai_Lue	New Tai Lue	4.1	false	false	true	true	
1510	区块与文字系统多样性	᧟	᧟	U+19DF	NEW TAI LUE SIGN LAEV	So	New_Tai_Lue	New Tai Lue	4.1	false	false	true	true	
1511	区块与文字系统多样性	᧠	᧠	U+19E0	KHMER SYMBOL PATHAMASAT	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1512	区块与文字系统多样性	᧡	᧡	U+19E1	KHMER SYMBOL MUOY KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1513	区块与文字系统多样性	᧢	᧢	U+19E2	KHMER SYMBOL PII KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1514	区块与文字系统多样性	᧣	᧣	U+19E3	KHMER SYMBOL BEI KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1515	区块与文字系统多样性	᧤	᧤	U+19E4	KHMER SYMBOL BUON KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1516	区块与文字系统多样性	᧥	᧥	U+19E5	KHMER SYMBOL PRAM KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1517	区块与文字系统多样性	᧦	᧦	U+19E6	KHMER SYMBOL PRAM-MUOY KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1518	区块与文字系统多样性	᧧	᧧	U+19E7	KHMER SYMBOL PRAM-PII KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1519	区块与文字系统多样性	᧨	᧨	U+19E8	KHMER SYMBOL PRAM-BEI KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1520	区块与文字系统多样性	᧩	᧩	U+19E9	KHMER SYMBOL PRAM-BUON KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1521	区块与文字系统多样性	᧪	᧪	U+19EA	KHMER SYMBOL DAP KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1522	区块与文字系统多样性	᧫	᧫	U+19EB	KHMER SYMBOL DAP-MUOY KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1523	区块与文字系统多样性	᧬	᧬	U+19EC	KHMER SYMBOL DAP-PII KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1524	区块与文字系统多样性	᧭	᧭	U+19ED	KHMER SYMBOL DAP-BEI KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1525	区块与文字系统多样性	᧮	᧮	U+19EE	KHMER SYMBOL DAP-BUON KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1526	区块与文字系统多样性	᧯	᧯	U+19EF	KHMER SYMBOL DAP-PRAM KOET	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1527	区块与文字系统多样性	᧰	᧰	U+19F0	KHMER SYMBOL TUTEYASAT	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1528	区块与文字系统多样性	᧱	᧱	U+19F1	KHMER SYMBOL MUOY ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1529	区块与文字系统多样性	᧲	᧲	U+19F2	KHMER SYMBOL PII ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1530	区块与文字系统多样性	᧳	᧳	U+19F3	KHMER SYMBOL BEI ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1531	区块与文字系统多样性	᧴	᧴	U+19F4	KHMER SYMBOL BUON ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1532	区块与文字系统多样性	᧵	᧵	U+19F5	KHMER SYMBOL PRAM ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1533	区块与文字系统多样性	᧶	᧶	U+19F6	KHMER SYMBOL PRAM-MUOY ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1534	区块与文字系统多样性	᧷	᧷	U+19F7	KHMER SYMBOL PRAM-PII ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1535	区块与文字系统多样性	᧸	᧸	U+19F8	KHMER SYMBOL PRAM-BEI ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1536	区块与文字系统多样性	᧹	᧹	U+19F9	KHMER SYMBOL PRAM-BUON ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1537	区块与文字系统多样性	᧺	᧺	U+19FA	KHMER SYMBOL DAP ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1538	区块与文字系统多样性	᧻	᧻	U+19FB	KHMER SYMBOL DAP-MUOY ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1539	区块与文字系统多样性	᧼	᧼	U+19FC	KHMER SYMBOL DAP-PII ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1540	区块与文字系统多样性	᧽	᧽	U+19FD	KHMER SYMBOL DAP-BEI ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1541	区块与文字系统多样性	᧾	᧾	U+19FE	KHMER SYMBOL DAP-BUON ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1542	区块与文字系统多样性	᧿	᧿	U+19FF	KHMER SYMBOL DAP-PRAM ROC	So	Khmer	Khmer Symbols	4.0	false	false	true	true	
1543	区块与文字系统多样性	⳥	⳥	U+2CE5	COPTIC SYMBOL MI RO	So	Coptic	Coptic	4.1	false	false	true	true	
1544	区块与文字系统多样性	⳦	⳦	U+2CE6	COPTIC SYMBOL PI RO	So	Coptic	Coptic	4.1	false	false	true	true	
1545	区块与文字系统多样性	⳧	⳧	U+2CE7	COPTIC SYMBOL STAUROS	So	Coptic	Coptic	4.1	false	false	true	true	
1546	区块与文字系统多样性	⳨	⳨	U+2CE8	COPTIC SYMBOL TAU RO	So	Coptic	Coptic	4.1	false	false	true	true	
1547	区块与文字系统多样性	⳩	⳩	U+2CE9	COPTIC SYMBOL KHI RO	So	Coptic	Coptic	4.1	false	false	true	true	
1548	区块与文字系统多样性	⳪	⳪	U+2CEA	COPTIC SYMBOL SHIMA SIMA	So	Coptic	Coptic	4.1	false	false	true	true	
1549	区块与文字系统多样性	⺀	⺀	U+2E80	CJK RADICAL REPEAT	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1550	区块与文字系统多样性	⺁	⺁	U+2E81	CJK RADICAL CLIFF	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1551	区块与文字系统多样性	⺂	⺂	U+2E82	CJK RADICAL SECOND ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1552	区块与文字系统多样性	⺃	⺃	U+2E83	CJK RADICAL SECOND TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1553	区块与文字系统多样性	⺄	⺄	U+2E84	CJK RADICAL SECOND THREE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1554	区块与文字系统多样性	⺅	⺅	U+2E85	CJK RADICAL PERSON	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1555	区块与文字系统多样性	⺇	⺇	U+2E87	CJK RADICAL TABLE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1556	区块与文字系统多样性	⺈	⺈	U+2E88	CJK RADICAL KNIFE ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1557	区块与文字系统多样性	⺉	⺉	U+2E89	CJK RADICAL KNIFE TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1558	区块与文字系统多样性	⺊	⺊	U+2E8A	CJK RADICAL DIVINATION	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1559	区块与文字系统多样性	⺋	⺋	U+2E8B	CJK RADICAL SEAL	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1560	区块与文字系统多样性	⺌	⺌	U+2E8C	CJK RADICAL SMALL ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1561	区块与文字系统多样性	⺍	⺍	U+2E8D	CJK RADICAL SMALL TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1562	区块与文字系统多样性	⺎	⺎	U+2E8E	CJK RADICAL LAME ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1563	区块与文字系统多样性	⺏	⺏	U+2E8F	CJK RADICAL LAME TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1564	区块与文字系统多样性	⺐	⺐	U+2E90	CJK RADICAL LAME THREE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
