char	codepoint	unicode_name	gardiner	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	components	largest_hole_ratio	vertical_symmetry	horizontal_symmetry	source	status	algorithm
𓀠	U+13020	EGYPTIAN HIEROGLYPH A028	A028	jj	24	c	曲弧	s	2	s	对称	jjcs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C24→c;族内视觉组S2;组状态首选s;采用首选→s	false	0.439390	0.7812	0.1325	1	0.0369	0.9128	0.8050	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀡	U+13021	EGYPTIAN HIEROGLYPH A029	A029	jj	24	c	曲弧	s	1	o	外包	jjco	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C24→c;族内视觉组S1;组状态首选s;唯一键平衡→o	true	0.409487	0.6771	0.1540	1	0.0470	0.8413	0.7760	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀢	U+13022	EGYPTIAN HIEROGLYPH A030	A030	jj	14	f	人物轮廓	s	4	w	宽展	jjfw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S4;组状态首选s;唯一键平衡→w	true	0.392113	0.6458	0.1626	1	0.0573	0.7399	0.7527	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀣	U+13023	EGYPTIAN HIEROGLYPH A031	A031	jj	24	c	曲弧	s	0	c	闭合	jjcc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C24→c;族内视觉组S0;组状态首选s;唯一键平衡→c	true	0.343809	0.6250	0.1550	1	0.0488	0.7497	0.7580	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀤	U+13024	EGYPTIAN HIEROGLYPH A032	A032	jj	12	k	绳结	s	5	o	外包	jjko	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C12→k;族内视觉组S5;组状态首选s;唯一键平衡→o	true	0.349256	0.6562	0.1559	1	0.0521	0.7702	0.7708	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀥	U+13025	EGYPTIAN HIEROGLYPH A032A	A032a	jj	2	y	分叉翼形	s	2	c	闭合	jjyc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C2→y;族内视觉组S2;组状态首选s;唯一键平衡→c	true	0.410973	0.6458	0.1509	1	0.0491	0.7628	0.7883	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀦	U+13026	EGYPTIAN HIEROGLYPH A033	A033	jj	12	k	绳结	s	5	o	外包	jjko	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C12→k;族内视觉组S5;组状态首选s;唯一键平衡→o	true	0.321213	0.7396	0.1344	1	0.0447	0.8151	0.7764	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀧	U+13027	EGYPTIAN HIEROGLYPH A034	A034	jj	14	f	人物轮廓	s	4	w	宽展	jjfw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S4;组状态首选s;唯一键平衡→w	true	0.331713	0.6562	0.1804	1	0.1306	0.7507	0.7510	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀨	U+13028	EGYPTIAN HIEROGLYPH A035	A035	jj	15	u	容器U形	i	2	i	内含	jjui	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C15→u;族内视觉组S2;组状态首选i;采用首选→i	false	0.678524	0.7292	0.2185	1	0.1673	0.7101	0.7935	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀩	U+13029	EGYPTIAN HIEROGLYPH A036	A036	jj	8	m	复合	s	3	o	外包	jjmo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C8→m;族内视觉组S3;组状态首选s;唯一键平衡→o	true	0.528571	0.8750	0.1621	1	0.0515	0.7334	0.7507	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀪	U+1302A	EGYPTIAN HIEROGLYPH A037	A037	jj	2	y	分叉翼形	s	6	i	内含	jjyi	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C2→y;族内视觉组S6;组状态首选s;唯一键平衡→i	true	0.622066	1.0000	0.1415	1	0.1242	0.8520	0.7795	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀫	U+1302B	EGYPTIAN HIEROGLYPH A038	A038	jj	0	x	交叉	s	1	s	对称	jjxs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C0→x;族内视觉组S1;组状态首选s;采用首选→s	false	0.827387	1.0312	0.1637	1	0.1430	0.8699	0.7319	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀬	U+1302C	EGYPTIAN HIEROGLYPH A039	A039	jj	7	r	放射星芒	s	5	s	对称	jjrs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C7→r;族内视觉组S5;组状态首选s;采用首选→s	false	0.897020	1.0417	0.1975	1	0.0535	0.9400	0.7396	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀭	U+1302D	EGYPTIAN HIEROGLYPH A040	A040	jj	14	f	人物轮廓	o	3	o	外包	jjfo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S3;组状态首选o;采用首选→o	false	0.278285	0.6979	0.1234	2	0.2229	0.8131	0.8022	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀮	U+1302E	EGYPTIAN HIEROGLYPH A040A	A040a	jj	14	f	人物轮廓	o	3	o	外包	jjfo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S3;组状态首选o;采用首选→o	false	0.282927	0.6979	0.1346	2	0.2229	0.8007	0.7923	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀯	U+1302F	EGYPTIAN HIEROGLYPH A041	A041	jj	23	h	枝杈	i	5	c	闭合	jjhc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C23→h;族内视觉组S5;组状态首选i;唯一键平衡→c	true	0.221189	0.6354	0.1288	2	0.2391	0.8135	0.7964	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀰	U+13030	EGYPTIAN HIEROGLYPH A042	A042	jj	20	e	椭圆	s	1	e	空心低填充	jjee	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S1;组状态首选s;唯一键平衡→e	true	0.469425	0.8542	0.1279	2	0.1782	0.8102	0.8046	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
