char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
ஷ	U+0BB7	TAMIL LETTER SSA	Lo	tamil	pi	11	w	波浪流线	s	1	s	对称	piws	tamil视觉聚类C11;状态组S1	false	0.398333	1.6087	0.2349	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஸ	U+0BB8	TAMIL LETTER SA	Lo	tamil	pi	13	v	开口V形	s	0	s	对称	pivs	tamil视觉聚类C13;状态组S0	false	0.182414	2.0185	0.2695	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஹ	U+0BB9	TAMIL LETTER HA	Lo	tamil	pi	0	x	交叉	s	1	s	对称	pixs	tamil视觉聚类C0;状态组S1	false	0.269226	1.8986	0.2813	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ா	U+0BBE	TAMIL VOWEL SIGN AA	Mc	tamil	pi	10	t	三角尖形	s	0	s	对称	pits	tamil视觉聚类C10;状态组S0	false	0.616529	1.2157	0.2242	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ி	U+0BBF	TAMIL VOWEL SIGN I	Mc	tamil	pi	11	w	波浪流线	s	1	s	对称	piws	tamil视觉聚类C11;状态组S1	false	0.431461	0.6267	0.1660	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ீ	U+0BC0	TAMIL VOWEL SIGN II	Mn	tamil	pi	8	m	复合	s	0	s	对称	pims	tamil视觉聚类C8;状态组S0	false	0.436760	0.5467	0.1346	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ு	U+0BC1	TAMIL VOWEL SIGN U	Mc	tamil	pi	2	y	分叉翼形	s	1	s	对称	piys	tamil视觉聚类C2;状态组S1	false	0.495311	0.6667	0.2410	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ூ	U+0BC2	TAMIL VOWEL SIGN UU	Mc	tamil	pi	10	t	三角尖形	s	0	s	对称	pits	tamil视觉聚类C10;状态组S0	false	0.616529	1.6977	0.2526	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ெ	U+0BC6	TAMIL VOWEL SIGN E	Mc	tamil	pi	7	r	放射星芒	s	0	s	对称	pirs	tamil视觉聚类C7;状态组S0	false	0.614813	1.1515	0.2382	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ே	U+0BC7	TAMIL VOWEL SIGN EE	Mc	tamil	pi	6	z	阶梯锯齿	s	1	s	对称	pizs	tamil视觉聚类C6;状态组S1	false	0.566290	0.9545	0.2742	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ை	U+0BC8	TAMIL VOWEL SIGN AI	Mc	tamil	pi	13	v	开口V形	s	1	w	宽展	pivw	tamil视觉聚类C13;状态组S1	true	0.167719	1.8704	0.3000	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ொ	U+0BCA	TAMIL VOWEL SIGN O	Mc	tamil	pi	0	x	交叉	h	0	h	横向	pixh	tamil视觉聚类C0;状态组S0	false	0.141264	2.6515	0.1838	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ோ	U+0BCB	TAMIL VOWEL SIGN OO	Mc	tamil	pi	0	x	交叉	h	0	h	横向	pixh	tamil视觉聚类C0;状态组S0	false	0.139738	2.4697	0.1867	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ௌ	U+0BCC	TAMIL VOWEL SIGN AU	Mc	tamil	pi	3	i	细柱	s	0	w	宽展	piiw	tamil视觉聚类C3;状态组S0	true	0.337710	3.0758	0.2018	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
்	U+0BCD	TAMIL SIGN VIRAMA	Mn	tamil	pi	6	z	阶梯锯齿	s	1	s	对称	pizs	tamil视觉聚类C6;状态组S1	false	0.612995	0.6111	0.0312	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ௐ	U+0BD0	TAMIL OM	Lo	tamil	pi	7	r	放射星芒	s	0	s	对称	pirs	tamil视觉聚类C7;状态组S0	false	0.300796	1.1111	0.2903	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ௗ	U+0BD7	TAMIL AU LENGTH MARK	Mc	tamil	pi	8	m	复合	s	0	s	对称	pims	tamil视觉聚类C8;状态组S0	false	0.219587	1.6667	0.2652	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
