char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
𒈫	U+1222B	CUNEIFORM SIGN MIN	Lo	cuneiform	mn	10	t	三角尖形	s	2	x	穿过交叠	mntx	cuneiform视觉聚类C10;状态组S2	true	1.355020	0.7571	0.2013	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈬	U+1222C	CUNEIFORM SIGN MU	Lo	cuneiform	mn	6	z	阶梯锯齿	s	0	s	对称	mnzs	cuneiform视觉聚类C6;状态组S0	false	0.827390	1.4026	0.2130	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈭	U+1222D	CUNEIFORM SIGN MU OVER MU	Lo	cuneiform	mn	8	m	复合	s	0	s	对称	mnms	cuneiform视觉聚类C8;状态组S0	false	1.081148	0.8529	0.2274	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈮	U+1222E	CUNEIFORM SIGN MUG	Lo	cuneiform	mn	10	t	三角尖形	s	1	s	对称	mnts	cuneiform视觉聚类C10;状态组S1	false	0.501098	1.1818	0.1753	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈯	U+1222F	CUNEIFORM SIGN MUG GUNU	Lo	cuneiform	mn	10	t	三角尖形	s	1	s	对称	mnts	cuneiform视觉聚类C10;状态组S1	false	0.568502	1.1818	0.2085	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈰	U+12230	CUNEIFORM SIGN MUNSUB	Lo	cuneiform	mn	6	z	阶梯锯齿	s	1	o	外包	mnzo	cuneiform视觉聚类C6;状态组S1	true	0.291609	1.6990	0.2062	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈱	U+12231	CUNEIFORM SIGN MURGU2	Lo	cuneiform	mn	2	y	分叉翼形	s	2	h	横向	mnyh	cuneiform视觉聚类C2;状态组S2	true	0.134568	2.4583	0.1141	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈲	U+12232	CUNEIFORM SIGN MUSH	Lo	cuneiform	mn	6	z	阶梯锯齿	s	2	h	横向	mnzh	cuneiform视觉聚类C6;状态组S2	true	0.125429	2.4844	0.2145	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈳	U+12233	CUNEIFORM SIGN MUSH TIMES A	Lo	cuneiform	mn	6	z	阶梯锯齿	s	2	h	横向	mnzh	cuneiform视觉聚类C6;状态组S2	true	0.128245	2.4844	0.2352	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈴	U+12234	CUNEIFORM SIGN MUSH TIMES KUR	Lo	cuneiform	mn	6	z	阶梯锯齿	s	2	h	横向	mnzh	cuneiform视觉聚类C6;状态组S2	true	0.127927	2.4844	0.2312	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈵	U+12235	CUNEIFORM SIGN MUSH TIMES ZA	Lo	cuneiform	mn	6	z	阶梯锯齿	s	2	h	横向	mnzh	cuneiform视觉聚类C6;状态组S2	true	0.132137	2.4844	0.2366	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈶	U+12236	CUNEIFORM SIGN MUSH OVER MUSH	Lo	cuneiform	mn	12	k	绳结	s	0	o	外包	mnko	cuneiform视觉聚类C12;状态组S0	true	0.488451	1.3011	0.2048	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈷	U+12237	CUNEIFORM SIGN MUSH OVER MUSH TIMES A PLUS NA	Lo	cuneiform	mn	12	k	绳结	s	0	o	外包	mnko	cuneiform视觉聚类C12;状态组S0	true	0.458630	1.3011	0.2522	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈸	U+12238	CUNEIFORM SIGN MUSH CROSSING MUSH	Lo	cuneiform	mn	12	k	绳结	s	1	s	对称	mnks	cuneiform视觉聚类C12;状态组S1	false	1.148195	1.1262	0.1972	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈹	U+12239	CUNEIFORM SIGN MUSH3	Lo	cuneiform	mn	20	e	椭圆	s	0	x	穿过交叠	mnex	cuneiform视觉聚类C20;状态组S0	true	0.205833	1.4507	0.2490	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈺	U+1223A	CUNEIFORM SIGN MUSH3 TIMES A	Lo	cuneiform	mn	20	e	椭圆	s	2	g	缺口开放	mneg	cuneiform视觉聚类C20;状态组S2	true	0.323593	1.3553	0.2597	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈻	U+1223B	CUNEIFORM SIGN MUSH3 TIMES A PLUS DI	Lo	cuneiform	mn	20	e	椭圆	s	2	g	缺口开放	mneg	cuneiform视觉聚类C20;状态组S2	true	0.426426	1.3947	0.2783	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈼	U+1223C	CUNEIFORM SIGN MUSH3 TIMES DI	Lo	cuneiform	mn	20	e	椭圆	s	0	x	穿过交叠	mnex	cuneiform视觉聚类C20;状态组S0	true	0.275474	1.4507	0.2798	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈽	U+1223D	CUNEIFORM SIGN MUSH3 GUNU	Lo	cuneiform	mn	20	e	椭圆	s	0	x	穿过交叠	mnex	cuneiform视觉聚类C20;状态组S0	true	0.343887	1.4928	0.2914	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈾	U+1223E	CUNEIFORM SIGN NA	Lo	cuneiform	mn	19	a	角折	s	2	s	对称	mnas	cuneiform视觉聚类C19;状态组S2	false	0.509833	1.4143	0.1722	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈿	U+1223F	CUNEIFORM SIGN NA2	Lo	cuneiform	mn	8	m	复合	s	0	s	对称	mnms	cuneiform视觉聚类C8;状态组S0	false	0.659214	1.6714	0.2416	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉀	U+12240	CUNEIFORM SIGN NAGA	Lo	cuneiform	mn	8	m	复合	s	0	s	对称	mnms	cuneiform视觉聚类C8;状态组S0	false	0.293733	1.4342	0.1760	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉁	U+12241	CUNEIFORM SIGN NAGA INVERTED	Lo	cuneiform	mn	2	y	分叉翼形	s	2	h	横向	mnyh	cuneiform视觉聚类C2;状态组S2	true	0.607829	1.4342	0.1748	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉂	U+12242	CUNEIFORM SIGN NAGA TIMES SHU TENU	Lo	cuneiform	mn	8	m	复合	s	0	s	对称	mnms	cuneiform视觉聚类C8;状态组S0	false	0.365090	1.4342	0.2198	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉃	U+12243	CUNEIFORM SIGN NAGA OPPOSING NAGA	Lo	cuneiform	mn	13	v	开口V形	s	1	w	宽展	mnvw	cuneiform视觉聚类C13;状态组S1	true	0.566341	2.0238	0.1548	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉄	U+12244	CUNEIFORM SIGN NAGAR	Lo	cuneiform	mn	13	v	开口V形	s	1	w	宽展	mnvw	cuneiform视觉聚类C13;状态组S1	true	0.669607	2.2083	0.1837	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉅	U+12245	CUNEIFORM SIGN NAM NUTILLU	Lo	cuneiform	mn	20	e	椭圆	s	2	g	缺口开放	mneg	cuneiform视觉聚类C20;状态组S2	true	0.466353	1.3553	0.2675	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉆	U+12246	CUNEIFORM SIGN NAM	Lo	cuneiform	mn	18	p	螺旋回环	s	0	x	穿过交叠	mnpx	cuneiform视觉聚类C18;状态组S0	true	0.822942	1.4494	0.2976	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉇	U+12247	CUNEIFORM SIGN NAM2	Lo	cuneiform	mn	7	r	放射星芒	s	0	s	对称	mnrs	cuneiform视觉聚类C7;状态组S0	false	1.214471	1.0141	0.2525	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉈	U+12248	CUNEIFORM SIGN NE	Lo	cuneiform	mn	16	d	点状	s	2	z	层叠错列	mndz	cuneiform视觉聚类C16;状态组S2	true	0.193200	1.8356	0.2508	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉉	U+12249	CUNEIFORM SIGN NE TIMES A	Lo	cuneiform	mn	16	d	点状	s	2	z	层叠错列	mndz	cuneiform视觉聚类C16;状态组S2	true	0.181156	1.8356	0.2764	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉊	U+1224A	CUNEIFORM SIGN NE TIMES UD	Lo	cuneiform	mn	16	d	点状	s	2	z	层叠错列	mndz	cuneiform视觉聚类C16;状态组S2	true	0.203862	1.8356	0.2849	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉋	U+1224B	CUNEIFORM SIGN NE SHESHIG	Lo	cuneiform	mn	16	d	点状	s	2	z	层叠错列	mndz	cuneiform视觉聚类C16;状态组S2	true	0.244680	1.7792	0.2690	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉌	U+1224C	CUNEIFORM SIGN NI	Lo	cuneiform	mn	14	f	人物轮廓	s	0	s	对称	mnfs	cuneiform视觉聚类C14;状态组S0	false	0.458955	1.2500	0.1815	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒉍	U+1224D	CUNEIFORM SIGN NI TIMES E	Lo	cuneiform	mn	14	f	人物轮廓	s	1	x	穿过交叠	mnfx	cuneiform视觉聚类C14;状态组S1	true	0.637051	1.3214	0.2208	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
